시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,위도,경도
광진구,11215000350,구립 물고기어린이집,국공립,정상,5090,서울특별시 광진구 뚝섬로34길 25-19 1006동 102호,37.53344107,127.0705768
광진구,11215000348,구립 미래어린이집,국공립,정상,4984,서울특별시 광진구 아차산로 503-23 104동 113호(광장동,37.550654,127.1103517
광진구,11215000346,구립 파크스위트어린이집,국공립,정상,4978,서울특별시 광진구 광나루로 545 110동 1층(구의동,37.5458469,127.0900916
광진구,11215000344,구립 군자동 꿈모음어린이집,국공립,정상,5004,서울특별시 광진구 군자로12길 6-4 (군자동 363-28),37.55085684,127.0714901
광진구,11215000345,구립 자양1동 봄뜰어린이집,국공립,정상,5058,서울특별시 광진구 자양로9길 30 (자양동 629-40),37.53356942,127.0827833
광진구,11215000347,구립 아띠어린이집,국공립,정상,5118,서울특별시 광진구 광나루로56길 32 (구의동,37.5386271,127.0958742
광진구,11215000343,구립 인정어린이집,국공립,정상,5001,서울특별시 광진구 동일로 242 (군자동),37.55306493,127.0704142
광진구,11215000341,구립 능동주민센터어린이집,국공립,정상,4989,서울특별시 광진구 천호대로112길 55 능동주민센터 1층(능동 232-4),37.5536711,127.0806001
광진구,11215000342,구립 건대티움아이어린이집,국공립,정상,5090,서울특별시 광진구 능동로4길 41 701동 101호(자양동,37.5329775,127.0697684
광진구,11215000340,구립 예담어린이집,국공립,정상,4983,서울특별시 광진구 아차산로 537-17 광장힐스테이트 관리동,37.5435747,127.098782
광진구,11215000338,구립 굿모닝어린이집,국공립,정상,4971,서울특별시 광진구 아차산로 552 2동105호(광장동,37.551755,127.1103618
광진구,11215000339,구립 샘터어린이집,국공립,정상,4984,서울특별시 광진구 아차산로 503-23 102동 102호(광장동,37.5516182,127.1109471
광진구,11215000337,구립 구의1동 아이터어린이집,국공립,정상,5023,서울특별시 광진구 자양로23길 79,37.5438367,127.083768
광진구,11215000335,구립 휴먼시아어린이집,국공립,정상,4981,서울특별시 광진구 천호대로 716 102동 102호(구의동,37.5478556,127.0930755
광진구,11215000336,구립 원스쿨어린이집,국공립,정상,4984,서울특별시 광진구 아차산로69길 19 현대아파트 902동 104호,37.54300096,127.0979692
광진구,11215000334,구립 능동 꿈맞이어린이집,국공립,정상,4987,서울특별시 광진구 천호대로120길 32,37.55279334,127.0859691
광진구,11215000333,구립 중곡1동 자람터어린이집,국공립,정상,4917,서울특별시 광진구 긴고랑로8길 76,37.56038686,127.0772926
광진구,11215000330,구립 바니스쿨어린이집,국공립,정상,5118,서울특별시 광진구 광나루로56길 32 구의현대2단지아파트 215동 104호(구의3동),37.53733825,127.0956819
광진구,11215000331,구립 중곡햇님어린이집,국공립,정상,4935,서울특별시 광진구 능동로48길 49 101호(중곡동,37.5581502,127.092701
광진구,11215000329,구립 한가람어린이집,국공립,정상,5110,서울특별시 광진구 자양번영로2길 30-1 (자양동),37.53007113,127.0766693
광진구,11215000363,광진구육아종합지원센터(꾸미팡팡공동육아방 1호점),국공립,정상,4987,서울특별시 광진구 천호대로122길 30 1층,37.5523152,127.0872073
광진구,11215000326,구립 희망샘어린이집,국공립,정상,4944,서울특별시 광진구 긴고랑로37길 8 (중곡동),37.55930799,127.0902083
광진구,11215000324,강변에코비어린이집,가정,정상,5116,서울특별시 광진구 구의강변로 42 101동 108호,37.53559161,127.0929178
광진구,11215000318,프라임사랑어린이집,가정,정상,5119,서울특별시 광진구 광나루로56길 29 11동 102호(구의동,37.5373973,127.0976212
광진구,11215000315,사랑숲어린이집,민간,정상,4947,서울특별시 광진구 영화사로9길 95-2 (중곡동),37.55779587,127.0956206
광진구,11215000313,군자티움아이어린이집,가정,정상,5002,서울특별시 광진구 동일로38길 8 1층(군자동),37.55136968,127.0699612
광진구,11215000309,현대아이사랑어린이집,가정,정상,5118,서울특별시 광진구 광나루로56길 32 208동105호(구의동,37.5386271,127.0958742
광진구,11215000037,구립 수호천사어린이집,국공립,정상,4934,서울특별시 광진구 긴고랑로17길 8 (중곡동),37.562725,127.084236
광진구,11215000302,고은아이어린이집,가정,정상,5087,서울특별시 광진구 능동로3길 53 1동 102호(자양동),37.534225,127.0645182
광진구,11215000301,극동예랑어린이집,가정,정상,4971,서울특별시 광진구 아차산로 552 6동 109호(광장동,37.5512745,127.1101454
광진구,11215000290,아이비키즈어린이집,민간,정상,5070,서울특별시 광진구 뚝섬로35길 14 (자양동,37.5356572,127.0700386
광진구,11215000286,워커힐행복어린이집,직장,정상,4963,서울특별시 광진구 워커힐로 177 (광장동),37.55613966,127.1105167
광진구,11215000282,아이누리어린이집,가정,정상,5070,서울특별시 광진구 뚝섬로33길 20 (자양3동,37.5356572,127.0700386
광진구,11215000131,해피i어린이집,가정,정상,5066,서울특별시 광진구 아차산로36길 35 702-105(자양동,37.5295885,127.0885796
광진구,11215000006,상상놀이터어린이집,가정,정상,5112,서울특별시 광진구 자양로6길 9 (자양동),37.53208578,127.0864459
광진구,11215000233,향기나무어린이집,가정,정상,4971,서울특별시 광진구 아차산로 552 (광장동) 극동아파트 6동 105호,37.54672856,127.1037451
광진구,11215000220,나섬어린이집,가정,정상,4966,서울특별시 광진구 광장로1나길 4 107호(광장동,37.5484085,127.1025305
광진구,11215000217,다예린어린이집,민간,정상,4967,서울특별시 광진구 광장로 65 (광장동),37.54753175,127.1043075
광진구,11215000210,대공원어린이집,가정,재개,4986,서울특별시 광진구 천호대로116길 22-12 (능동),37.55280432,127.0832247
광진구,11215000184,늘평화어린이집,민간,정상,4908,서울특별시 광진구 능동로51길 17 (중곡동),37.565952,127.083145
광진구,11215000045,엄마사랑어린이집,민간,정상,4904,서울특별시 광진구 면목로 164 (중곡동),37.567726,127.08243
광진구,11215000015,푸르내어린이집,민간,정상,4945,서울특별시 광진구 긴고랑로36길 15 (중곡동),37.55834838,127.0895189
